agent,jour,poste,value
2,69,4,0
2,69,5,1
2,69,6,0
2,70,1,0
2,70,2,0
2,70,3,0
2,70,4,0
2,70,5,0
2,70,6,1
2,71,1,0
2,71,2,0
2,71,3,0
2,71,4,0
2,71,5,0
2,71,6,1
2,72,1,0
2,72,2,1
2,72,3,0
2,72,4,0
2,72,5,0
2,72,6,0
2,73,1,0
2,73,2,1
2,73,3,0
2,73,4,0
2,73,5,0
2,73,6,0
2,74,1,0
2,74,2,1
2,74,3,0
2,74,4,0
2,74,5,0
2,74,6,0
2,75,1,0
2,75,2,0
2,75,3,0
2,75,4,0
2,75,5,1
2,75,6,0
2,76,1,0
2,76,2,0
2,76,3,0
2,76,4,0
2,76,5,1
2,76,6,0
2,77,1,0
2,77,2,0
2,77,3,0
2,77,4,0
2,77,5,0
2,77,6,1
2,78,1,0
2,78,2,0
2,78,3,0
2,78,4,0
2,78,5,0
2,78,6,1
2,79,1,1
2,79,2,0
2,79,3,0
2,79,4,0
2,79,5,0
2,79,6,0
2,80,1,0
2,80,2,0
2,80,3,0
2,80,4,1
2,80,5,0
2,80,6,0
2,81,1,0
2,81,2,0
2,81,3,0
2,81,4,1
2,81,5,0
2,81,6,0
2,82,1,0
2,82,2,0
2,82,3,0
2,82,4,0
2,82,5,1
2,82,6,0
2,83,1,0
2,83,2,0
2,83,3,0
2,83,4,0
2,83,5,1
2,83,6,0
2,84,1,0
2,84,2,0
2,84,3,0
2,84,4,0
2,84,5,0
2,84,6,1
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,1
3,1,5,0
3,1,6,0
3,2,1,0
3,2,2,0
3,2,3,1
3,2,4,0
3,2,5,0
3,2,6,0
3,3,1,0
3,3,2,0
3,3,3,0
3,3,4,0
3,3,5,0
3,3,6,1
3,4,1,1
3,4,2,0
3,4,3,0
3,4,4,0
3,4,5,0
3,4,6,0
3,5,1,1
3,5,2,0
3,5,3,0
3,5,4,0
3,5,5,0
3,5,6,0
3,6,1,0
3,6,2,1
3,6,3,0
3,6,4,0
3,6,5,0
3,6,6,0
3,7,1,0
3,7,2,1
3,7,3,0
3,7,4,0
3,7,5,0
3,7,6,0
3,8,1,0
3,8,2,0
3,8,3,0
3,8,4,0
3,8,5,0
3,8,6,1
3,9,1,1
3,9,2,0
3,9,3,0
3,9,4,0
3,9,5,0
3,9,6,0
3,10,1,1
3,10,2,0
3,10,3,0
3,10,4,0
3,10,5,0
3,10,6,0
3,11,1,1
3,11,2,0
3,11,3,0
3,11,4,0
3,11,5,0
3,11,6,0
3,12,1,0
3,12,2,0
3,12,3,0
3,12,4,0
3,12,5,0
3,12,6,1
3,13,1,0
3,13,2,0
3,13,3,0
3,13,4,0
3,13,5,0
3,13,6,1
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,1
3,14,5,0
3,14,6,0
3,15,1,0
3,15,2,0
3,15,3,0
3,15,4,1
3,15,5,0
3,15,6,0
3,16,1,1
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,17,1,1
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,18,1,0
3,18,2,0
3,18,3,0
3,18,4,0
3,18,5,0
3,18,6,1
3,19,1,0
3,19,2,1
3,19,3,0
3,19,4,0
3,19,5,0
3,19,6,0
3,20,1,1
3,20,2,0
3,20,3,0
3,20,4,0
3,20,5,0
3,20,6,0
3,21,1,0
3,21,2,0
3,21,3,0
3,21,4,0
3,21,5,0
3,21,6,1
3,22,1,0
3,22,2,0
3,22,3,0
3,22,4,0
3,22,5,1
3,22,6,0
3,23,1,0
3,23,2,0
3,23,3,0
3,23,4,0
3,23,5,1
3,23,6,0
3,24,1,1
3,24,2,0
3,24,3,0
3,24,4,0
3,24,5,0
3,24,6,0
3,25,1,0
3,25,2,0
3,25,3,0
3,25,4,0
3,25,5,0
3,25,6,1
3,26,1,0
3,26,2,0
3,26,3,0
3,26,4,0
3,26,5,0
3,26,6,1
3,27,1,0
3,27,2,0
3,27,3,0
3,27,4,0
3,27,5,0
3,27,6,1
3,28,1,0
3,28,2,0
3,28,3,0
3,28,4,0
3,28,5,1
3,28,6,0
3,29,1,0
3,29,2,0
3,29,3,0
3,29,4,0
3,29,5,1
3,29,6,0
3,30,1,0
3,30,2,0
3,30,3,0
3,30,4,0
3,30,5,1
3,30,6,0
3,31,1,1
3,31,2,0
3,31,3,0
3,31,4,0
3,31,5,0
3,31,6,0
3,32,1,1
3,32,2,0
3,32,3,0
3,32,4,0
3,32,5,0
3,32,6,0
3,33,1,0
3,33,2,0
3,33,3,0
3,33,4,0
3,33,5,0
3,33,6,1
3,34,1,0
3,34,2,0
3,34,3,0
3,34,4,0
3,34,5,0
3,34,6,1
3,35,1,0
3,35,2,0
3,35,3,0
3,35,4,0
3,35,5,1
3,35,6,0
3,36,1,0
3,36,2,0
3,36,3,0
3,36,4,0
3,36,5,1
3,36,6,0
3,37,1,1
3,37,2,0
3,37,3,0
3,37,4,0
3,37,5,0
3,37,6,0
3,38,1,0
3,38,2,0
3,38,3,0
3,38,4,0
3,38,5,0
3,38,6,1
3,39,1,1
3,39,2,0
3,39,3,0
3,39,4,0
3,39,5,0
3,39,6,0
3,40,1,0
3,40,2,0
3,40,3,0
3,40,4,0
3,40,5,0
3,40,6,1
3,41,1,1
3,41,2,0
3,41,3,0
3,41,4,0
3,41,5,0
3,41,6,0
3,42,1,0
3,42,2,0
3,42,3,0
3,42,4,0
3,42,5,1
3,42,6,0
3,43,1,0
3,43,2,0
3,43,3,0
3,43,4,0
3,43,5,1
3,43,6,0
3,44,1,0
3,44,2,0
3,44,3,0
3,44,4,0
3,44,5,0
3,44,6,1
3,45,1,0
3,45,2,1
3,45,3,0
3,45,4,0
3,45,5,0
3,45,6,0
3,46,1,0
3,46,2,1
3,46,3,0
3,46,4,0
3,46,5,0
3,46,6,0
3,47,1,0
3,47,2,0
3,47,3,0
3,47,4,0
3,47,5,0
3,47,6,1
3,48,1,0
3,48,2,0
3,48,3,0
3,48,4,0
3,48,5,1
3,48,6,0
3,49,1,0
3,49,2,0
3,49,3,0
3,49,4,0
3,49,5,1
3,49,6,0
3,50,1,0
3,50,2,0
3,50,3,0
3,50,4,0
3,50,5,0
3,50,6,1
3,51,1,0
3,51,2,0
3,51,3,0
3,51,4,1
3,51,5,0
3,51,6,0
3,52,1,0
3,52,2,0
3,52,3,0
3,52,4,1
3,52,5,0
3,52,6,0
3,53,1,0
3,53,2,0
3,53,3,0
3,53,4,1
3,53,5,0
3,53,6,0
3,54,1,0
3,54,2,0
3,54,3,0
3,54,4,0
3,54,5,0
3,54,6,1
3,55,1,1
3,55,2,0
3,55,3,0
3,55,4,0
3,55,5,0
3,55,6,0
3,56,1,0
3,56,2,1
3,56,3,0
3,56,4,0
3,56,5,0
3,56,6,0
3,57,1,0
3,57,2,1
3,57,3,0
3,57,4,0
3,57,5,0
3,57,6,0
3,58,1,1
3,58,2,0
3,58,3,0
3,58,4,0
3,58,5,0
3,58,6,0
3,59,1,0
3,59,2,0
3,59,3,0
3,59,4,0
3,59,5,0
3,59,6,1
3,60,1,0
3,60,2,0
3,60,3,1
3,60,4,0
3,60,5,0
3,60,6,0
3,61,1,0
3,61,2,0
3,61,3,1
3,61,4,0
3,61,5,0
3,61,6,0
3,62,1,0
3,62,2,0
3,62,3,0
3,62,4,0
3,62,5,1
3,62,6,0
3,63,1,0
3,63,2,0
3,63,3,0
3,63,4,0
3,63,5,0
3,63,6,1
3,64,1,1
3,64,2,0
3,64,3,0
3,64,4,0
3,64,5,0
3,64,6,0
3,65,1,0
3,65,2,1
3,65,3,0
3,65,4,0
3,65,5,0
3,65,6,0
3,66,1,0
3,66,2,0
3,66,3,0
3,66,4,0
3,66,5,0
3,66,6,1
3,67,1,0
3,67,2,1
3,67,3,0
3,67,4,0
3,67,5,0
3,67,6,0
3,68,1,0
3,68,2,1
3,68,3,0
3,68,4,0
3,68,5,0
3,68,6,0
3,69,1,0
3,69,2,0
3,69,3,0
3,69,4,0
3,69,5,0
3,69,6,1
3,70,1,0
3,70,2,0
3,70,3,0
3,70,4,1
3,70,5,0
3,70,6,0
3,71,1,0
3,71,2,0
3,71,3,0
3,71,4,1
3,71,5,0
3,71,6,0
3,72,1,0
3,72,2,0
3,72,3,1
3,72,4,0
3,72,5,0
3,72,6,0
3,73,1,0
3,73,2,0
3,73,3,0
3,73,4,0
3,73,5,0
3,73,6,1
3,74,1,0
3,74,2,0
3,74,3,0
3,74,4,0
3,74,5,0
3,74,6,1
3,75,1,0
3,75,2,1
3,75,3,0
3,75,4,0
3,75,5,0
3,75,6,0
3,76,1,0
3,76,2,1
3,76,3,0
3,76,4,0
3,76,5,0
3,76,6,0
3,77,1,0
3,77,2,0
3,77,3,0
3,77,4,0
3,77,5,1
3,77,6,0
3,78,1,1
3,78,2,0
3,78,3,0
3,78,4,0
3,78,5,0
3,78,6,0
3,79,1,0
3,79,2,0
3,79,3,0
3,79,4,0
3,79,5,0
3,79,6,1
3,80,1,1
3,80,2,0
3,80,3,0
3,80,4,0
3,80,5,0
3,80,6,0
3,81,1,1
3,81,2,0
3,81,3,0
3,81,4,0
3,81,5,0
3,81,6,0
3,82,1,0
3,82,2,1
3,82,3,0
3,82,4,0
3,82,5,0
3,82,6,0
3,83,1,0
3,83,2,1
3,83,3,0
3,83,4,0
3,83,5,0
3,83,6,0
3,84,1,0
3,84,2,1
3,84,3,0
3,84,4,0
3,84,5,0
3,84,6,0
4,1,1,1
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,2,1,1
4,2,2,0
4,2,3,0
4,2,4,0
4,2,5,0
4,2,6,0
4,3,1,1
4,3,2,0
4,3,3,0
4,3,4,0
4,3,5,0
4,3,6,0
4,4,1,0
4,4,2,1
4,4,3,0
4,4,4,0
4,4,5,0
4,4,6,0
4,5,1,0
4,5,2,1
4,5,3,0
4,5,4,0
4,5,5,0
4,5,6,0
4,6,1,0
4,6,2,0
4,6,3,0
4,6,4,0
4,6,5,0
4,6,6,1
4,7,1,0
4,7,2,0
4,7,3,0
4,7,4,0
4,7,5,0
4,7,6,1
4,8,1,0
4,8,2,0
4,8,3,0
4,8,4,0
4,8,5,1
4,8,6,0
4,9,1,0
4,9,2,0
4,9,3,0
4,9,4,0
4,9,5,0
4,9,6,1
4,10,1,0
4,10,2,0
4,10,3,1
4,10,4,0
4,10,5,0
4,10,6,0
4,11,1,0
4,11,2,0
4,11,3,1
4,11,4,0
4,11,5,0
4,11,6,0
4,12,1,0
4,12,2,0
4,12,3,1
4,12,4,0
4,12,5,0
4,12,6,0
4,13,1,1
4,13,2,0
4,13,3,0
4,13,4,0
4,13,5,0
4,13,6,0
4,14,1,0
4,14,2,0
4,14,3,0
4,14,4,0
4,14,5,0
4,14,6,1
4,15,1,0
4,15,2,1
4,15,3,0
4,15,4,0
4,15,5,0
4,15,6,0
4,16,1,0
4,16,2,1
4,16,3,0
4,16,4,0
4,16,5,0
4,16,6,0
4,17,1,1
4,17,2,0
4,17,3,0
4,17,4,0
4,17,5,0
4,17,6,0
4,18,1,0
4,18,2,0
4,18,3,0
4,18,4,0
4,18,5,0
4,18,6,1
4,19,1,1
4,19,2,0
4,19,3,0
4,19,4,0
4,19,5,0
4,19,6,0
4,20,1,0
4,20,2,1
4,20,3,0
4,20,4,0
4,20,5,0
4,20,6,0
4,21,1,1
4,21,2,0
4,21,3,0
4,21,4,0
4,21,5,0
4,21,6,0
4,22,1,0
4,22,2,0
4,22,3,0
4,22,4,0
4,22,5,0
4,22,6,1
4,23,1,0
4,23,2,0
4,23,3,0
4,23,4,0
4,23,5,0
4,23,6,1
4,24,1,0
4,24,2,0
4,24,3,0
4,24,4,0
4,24,5,1
4,24,6,0
4,25,1,1
4,25,2,0
4,25,3,0
4,25,4,0
4,25,5,0
4,25,6,0
4,26,1,0
4,26,2,0
4,26,3,0
4,26,4,0
4,26,5,1
4,26,6,0
4,27,1,0
4,27,2,0
4,27,3,0
4,27,4,0
4,27,5,1
4,27,6,0
4,28,1,0
4,28,2,0
4,28,3,0
4,28,4,0
4,28,5,0
4,28,6,1
4,29,1,0
4,29,2,0
4,29,3,1
4,29,4,0
